filename,time_rel(sec)
xa.s12.00.mhz.1969-12-16HR00_evid00006.csv,1792.0000000000002
xa.s12.00.mhz.1970-01-09HR00_evid00007.csv,7100.377358490567
xa.s12.00.mhz.1970-02-07HR00_evid00014.csv,5849.358490566038
xa.s12.00.mhz.1970-02-07HR00_evid00014.csv,12611.622641509437
xa.s12.00.mhz.1970-02-07HR00_evid00014.csv,67284.52830188679
xa.s12.00.mhz.1970-02-07HR00_evid00014.csv,69651.32075471699
xa.s12.00.mhz.1970-02-18HR00_evid00016.csv,6187.471698113207
xa.s12.00.mhz.1970-02-18HR00_evid00016.csv,43210.867924528306
xa.s12.00.mhz.1970-02-18HR00_evid00016.csv,47978.264150943396
xa.s12.00.mhz.1970-02-18HR00_evid00016.csv,52678.03773584906
xa.s12.00.mhz.1970-03-14HR00_evid00018.csv,44360.45283018869
xa.s12.00.mhz.1970-03-30HR00_evid00020.csv,3820.6792452830186
xa.s12.00.mhz.1970-03-30HR00_evid00020.csv,46253.88679245283
xa.s12.00.mhz.1970-03-30HR00_evid00020.csv,62584.75471698113
xa.s12.00.mhz.1970-04-03HR00_evid00021.csv,38680.150943396235
xa.s12.00.mhz.1970-04-03HR00_evid00021.csv,57715.9245283019
xa.s12.00.mhz.1970-05-20HR00_evid00026.csv,60420.83018867925
xa.s12.00.mhz.1970-05-23HR00_evid00027.csv,46152.45283018868
xa.s12.00.mhz.1970-05-23HR00_evid00027.csv,56972.07547169812
xa.s12.00.mhz.1970-05-24HR00_evid00028.csv,16398.490566037737
xa.s12.00.mhz.1970-05-25HR00_evid00029.csv,45002.867924528306
xa.s12.00.mhz.1970-05-25HR00_evid00029.csv,52610.41509433962
xa.s12.00.mhz.1970-06-19HR00_evid00031.csv,78137.96226415093
xa.s12.00.mhz.1970-07-17HR00_evid00035.csv,55450.56603773585
xa.s12.00.mhz.1970-07-18HR00_evid00036.csv,1589.132075471698
xa.s12.00.mhz.1970-07-20HR00_evid00037.csv,16297.056603773586
xa.s12.00.mhz.1970-07-20HR00_evid00037.csv,23972.22641509434
xa.s12.00.mhz.1970-07-20HR00_evid00037.csv,41114.56603773585
xa.s12.00.mhz.1970-07-27HR00_evid00039.csv,12476.377358490567
xa.s12.00.mhz.1970-09-09HR00_evid00043.csv,45442.41509433962
xa.s12.00.mhz.1970-10-26HR00_evid00049.csv,20016.301886792455
xa.s12.00.mhz.1970-10-26HR00_evid00049.csv,57445.43396226415
xa.s12.00.mhz.1970-11-03HR00_evid00050.csv,32154.566037735854
xa.s12.00.mhz.1970-11-03HR00_evid00050.csv,62280.45283018869
xa.s12.00.mhz.1970-11-03HR00_evid00050.csv,64038.64150943397
xa.s12.00.mhz.1970-11-03HR00_evid00051.csv,32154.566037735854
xa.s12.00.mhz.1970-11-03HR00_evid00051.csv,62280.45283018869
xa.s12.00.mhz.1970-11-03HR00_evid00051.csv,64038.64150943397
xa.s12.00.mhz.1971-01-03HR00_evid00057.csv,39153.50943396227
xa.s12.00.mhz.1971-01-05HR00_evid00059.csv,2569.66037735849
xa.s12.00.mhz.1971-01-17HR00_evid00060.csv,64207.698113207545
xa.s12.00.mhz.1971-03-15HR00_evid00073.csv,15688.45283018868
xa.s12.00.mhz.1971-03-15HR00_evid00073.csv,27759.094339622643
xa.s12.00.mhz.1971-04-08HR01_evid00083.csv,27860.528301886796
xa.s12.00.mhz.1971-05-22HR00_evid00092.csv,63801.962264150956
xa.s12.00.mhz.1971-06-11HR00_evid00096.csv,49567.3962264151
xa.s12.00.mhz.1971-06-27HR00_evid00101.csv,65999.69811320755
xa.s12.00.mhz.1971-10-06HR00_evid00124.csv,38916.83018867925
xa.s12.00.mhz.1971-10-06HR00_evid00124.csv,62517.1320754717
xa.s12.00.mhz.1971-10-06HR00_evid00125.csv,38916.83018867925
xa.s12.00.mhz.1971-10-06HR00_evid00125.csv,62517.1320754717
xa.s12.00.mhz.1971-10-26HR00_evid00133.csv,16398.490566037737
xa.s12.00.mhz.1972-01-26HR00_evid00186.csv,18122.867924528302
xa.s12.00.mhz.1972-02-28HR00_evid00192.csv,44157.58490566038
xa.s12.00.mhz.1972-05-15HR00_evid00223.csv,63497.660377358494
xa.s12.00.mhz.1972-11-14HR00_evid00331.csv,68772.22641509434
xa.s12.00.mhz.1972-11-19HR00_evid00335.csv,52103.24528301887
